,by,descendants,id,kids,score,time,title,type,url
0,darthShadow,404,37603905,"[37604150, 37605051, 37604579, 37604729, 37605522, 37604140, 37607249, 37604210, 37605983, 37604230, 37606953, 37606993, 37604482, 37604259, 37607251, 37605245, 37605073, 37604527, 37605660, 37606356, 37607109, 37604369, 37604424, 37606558, 37606797, 37604142, 37604762, 37605182, 37605974, 37605992, 37606112, 37605793, 37606422, 37604997, 37604388, 37606081, 37605189, 37604670, 37605782, 37605402, 37606026, 37606426, 37604750, 37605098, 37605790, 37604611, 37604435, 37604473, 37604181, 37605705, 37604559, 37606467, 37605469, 37604794, 37605343, 37605454, 37605965, 37605036, 37606940, 37605867, 37605993, 37604180, 37605101, 37604256, 37604795, 37605955, 37605017, 37605637, 37605814, 37604275, 37605016, 37604868, 37606149, 37604096, 37604891, 37604378, 37604565, 37606075, 37605358, 37605578, 37605610, 37604497, 37605261, 37604823, 37605607, 37606286, 37606738, 37604724, 37605633, 37604442, 37604694, 37604713, 37606165, 37604375, 37604403, 37604183, 37604107, 37606285, 37604844, 37607222, 37606316, 37604404, 37604170, 37605656, 37606870]",720,1695328373,Unlimited Kagi searches for $10 per month,story,https://blog.kagi.com/unlimited-searches-for-10
1,jackie_gg,23,37606380,"[37607003, 37606479, 37607214, 37607086, 37606548, 37606511]",79,1695342715,Nintendo 3DS Architecture,story,https://www.copetti.org/writings/consoles/nintendo-3ds/
2,jonathankoren,134,37602239,"[37605270, 37605665, 37603955, 37603965, 37606312, 37603754, 37603042, 37603527, 37603805, 37603091, 37605540, 37606628]",291,1695322374,NASA’s Webb finds carbon source on surface of Jupiter’s moon Europa,story,https://webbtelescope.org/contents/news-releases/2023/news-2023-113
3,amadeuspagel,127,37603467,"[37606643, 37606490, 37604555, 37605033, 37605892, 37606152, 37605440, 37605650, 37605536, 37606540, 37606393, 37605069, 37605664, 37605161, 37606261, 37605473, 37605229]",178,1695326671,Android 14 adds support for using your smartphone as a webcam,story,https://www.esper.io/blog/android-14-adds-support-for-using-your-smartphone-as-a-webcam
4,siddharthb_,441,37596497,"[37596779, 37600009, 37596708, 37603000, 37597795, 37596663, 37598248, 37601305, 37597669, 37602406, 37597110, 37597657, 37601867, 37599086, 37596817, 37599156, 37604057, 37598078, 37597059, 37598460, 37602077, 37600040, 37596751, 37603627, 37600687, 37600029, 37597279, 37596932, 37596921, 37600071, 37600035, 37600493, 37601930, 37604097, 37601466, 37596948, 37597509, 37597680, 37597421, 37596953, 37600815, 37597927, 37601896, 37605009, 37598159, 37598024, 37598793, 37597090, 37597326, 37599134, 37596777, 37597150, 37598780, 37600315, 37597601, 37598139, 37599196]",788,1695298519,Cisco Acquires Splunk,story,https://www.splunk.com/en_us/blog/leadership/splunk-and-cisco-unite-to-accelerate-digital-resilience-as-one-of-the-leading-global-software-companies.html
5,jrepinc,190,37599510,"[37600722, 37601814, 37601715, 37601350, 37600483, 37600919, 37600995, 37603585, 37602386, 37603379, 37601808, 37604310, 37603485, 37603232, 37602464, 37603346, 37600781, 37603976, 37601811, 37601000, 37605205, 37603044, 37603700, 37600636, 37602850, 37602367, 37601947, 37606905, 37602497, 37601218, 37601097]",449,1695311604,Matrix 2.0: The Future of Matrix,story,https://matrix.org/blog/2023/09/matrix-2-0/
6,atg_abhishek,7,37606352,"[37607114, 37607237, 37606785, 37607000, 37606983]",27,1695342584,Outperforming LLMs with less training data and smaller model sizes,story,https://blog.research.google/2023/09/distilling-step-by-step-outperforming.html
7,atulvi,110,37603331,"[37606908, 37606847, 37603923, 37606173, 37604267, 37603588, 37604031, 37603829, 37604321, 37604529, 37604114, 37604128, 37604346, 37604688, 37603950, 37604247, 37603908, 37604327, 37604113, 37604297, 37605472, 37604510, 37606355, 37606224, 37606937]",151,1695326181,LabelContactRelationYoungerCousinMothersSiblingsDaughterOrFathersSistersDaughter,story,https://developer.apple.com/documentation/contacts/cnlabelcontactrelationyoungercousinmotherssiblingsdaughterorfatherssistersdaughter
8,benhawkes,94,37600852,"[37603845, 37603320, 37604343, 37606815, 37603274, 37605933, 37603051, 37604458, 37606025, 37602433, 37602954, 37606967]",208,1695316899,The WebP 0day,story,https://blog.isosceles.com/the-webp-0day/
9,HieronymusBosch,49,37603554,"[37604188, 37604411, 37605792, 37605515, 37604103, 37603926, 37606508, 37606406, 37604854, 37603931, 37603919, 37605642, 37604799]",124,1695326971,A customer stuck due to a hurricane who needed SSH,story,https://rachelbythebay.com/w/2023/09/21/hurricane/